asset_filename	asset_type	description	source_data	generation_script	upstream_analysis	status	notes
figures/Fig_3.11_CoA4_recruitment.png	final_figure	Co-assembly recruitment heatmap	04_CORE_ANALYSIS_DATA/07_RECRUITMENT;04_CORE_ANALYSIS_DATA/09_COA4	03_REPRODUCIBILITY/scripts/make_Fig_3.11_CoA4_recruitment.py	read recruitment	final	
figures/Fig_3.12_perkinsus_landscape.png	final_figure	Perkinsus olseni BLASTn temporal landscape	06_METHODS_AND_VALIDATION/17_BLAST_VALIDATION/Perkinsus_olseni_BLAST_hits_timeseries.tsv	03_REPRODUCIBILITY/scripts/make_Fig_3.12_perkinsus.py	selected-reference BLASTn target screen	final	
figures/Fig_S1_sequencing_effort.png	final_figure	Sequencing effort summary	03_REPRODUCIBILITY/figure_sources/sequencing/S1_read_totals_source_fig2_sequencing_effort_qc_metrics.tsv	03_REPRODUCIBILITY/scripts/make_Fig_S1_sequencing_effort.py	sequencing QC	final	
figures/Fig_S2_blastn_target_screen.png	final_figure	Twenty-target BLASTn screen heatmap	06_METHODS_AND_VALIDATION/17_BLAST_VALIDATION/blast_sample_mean.tsv	03_REPRODUCIBILITY/scripts/make_Fig_S2_blastn_target_screen.py	selected-reference BLASTn target screen	final	
figures/Fig_S3_chronology.png	final_figure	Chronological clade-read PCoA	03_REPRODUCIBILITY/figure_sources/pcoa	03_REPRODUCIBILITY/scripts/make_Fig_S3_chronology.py	clade-read ordination	final	
figures/Fig_S4_SS07_Proksee_selected_genes.png	final_figure	SS-07 circular map with selected genes	05_RECENT_FINAL_ANALYSES/SS07_GENOME_MAP/proksee_input/SS-07	05_RECENT_FINAL_ANALYSES/SS07_GENOME_MAP/scripts/export_styled_map.py	SS-07 genome mapping	final	Interactive Proksee/CGView workflow
figures/Fig_S5_Flye_Bandage_top100_components.png	final_figure	Flye graph top-100 connected components	05_RECENT_FINAL_ANALYSES/FLYE_ASSEMBLY_GRAPH_BANDAGE/input/Flye_coassembly_top100_connected_components.gfa	05_RECENT_FINAL_ANALYSES/FLYE_ASSEMBLY_GRAPH_BANDAGE/scripts/extract_largest_component.py	Flye co-assembly graph	final	Interactive Bandage rendering
figures/Fig_S6_archived_full_depth_read_QC.png	final_figure	Read-count sequencing-yield and read-length QC	03_REPRODUCIBILITY/figure_sources/sequencing/S1_read_totals_source_fig2_sequencing_effort_qc_metrics.tsv; 04_CORE_ANALYSIS_DATA/03_READS_AND_QC/taxprofiler_20260430/source_data/multiqc_nanoq.tsv; 04_CORE_ANALYSIS_DATA/03_READS_AND_QC/taxprofiler_20260430/source_data/nanoq_read_length_bins.tsv	03_REPRODUCIBILITY/scripts/make_Fig_S6_full_depth_read_QC.py	full-depth TaxProfiler QC	final	Original TaxProfiler run parameters, versions, nanoq statistics and KrakenUniq reports retained
figures/Fig_S7_SS07_Proksee_MIMAG_RNA_coverage.png	final_figure	SS-07 RNA markers and source-read coverage	05_RECENT_FINAL_ANALYSES/SS07_GENOME_MAP	05_RECENT_FINAL_ANALYSES/SS07_GENOME_MAP/scripts/add_coverage_track.py	SS-07 genome mapping	final	Interactive map export
figures/Fig_S8_genus_rarefaction_23_samples.png	final_figure	Genus rarefaction across full-depth profiles	05_RECENT_FINAL_ANALYSES/RAREFACTION_GENUS/tables	05_RECENT_FINAL_ANALYSES/RAREFACTION_GENUS/scripts/analyze_percent_full_depth_recovery.py	genus rarefaction	final	
figures/Fig_S9_selected_taxonomically_inferred_phenotypes.png	final_figure	Selected taxonomically inferred phenotype patterns	05_RECENT_FINAL_ANALYSES/SUMTRAITS_SELECTED_PHENOTYPES/source/community_trait_annotations.tsv	05_RECENT_FINAL_ANALYSES/SUMTRAITS_SELECTED_PHENOTYPES/scripts/make_sumtraits_sediment_biogeochemistry_figure.py	porTraits/sumTraits	final	
figures/Fig_S_nfcore_mag_v5.4.1_metromap.png	final_figure	nf-core mag v5.4.1 workflow reference diagram	03_REPRODUCIBILITY/SOFTWARE_DATABASE_VERSIONS.tsv		 nf-core mag v5.4.1	final	Reference diagram
figures/Fig_S_nfcore_funcscan_v3.0.0_metromap.png	final_figure	nf-core funcscan v3.0.0 workflow reference diagram	03_REPRODUCIBILITY/SOFTWARE_DATABASE_VERSIONS.tsv		nf-core funcscan v3.0.0	final	Reference diagram
results_tables/data/bin_recovery_summary.tsv	result_table	Bin recovery summary	04_CORE_ANALYSIS_DATA/05_ASSEMBLY_BINNING_QC_DREP	03_REPRODUCIBILITY/scripts/make_Fig_3.4_bin_recovery.py	assembly binning and dereplication	final	
results_tables/data/software_database_versions.tsv	result_table	Software versions databases and parameters	03_REPRODUCIBILITY/SOFTWARE_DATABASE_VERSIONS.tsv		workflow provenance	final	
results_tables/data/MAG29_taxonomy_quality.tsv	result_table	MAG29 taxonomy and quality	04_CORE_ANALYSIS_DATA/06_MAG29	03_REPRODUCIBILITY/scripts/make_Fig_3.5_MAG29_taxonomy.py	MAG29 curation	final	
results_tables/data/MAG29_genome_quality_MIMAG.tsv	result_table	MAG29 genome quality and MIMAG metrics	04_CORE_ANALYSIS_DATA/06_MAG29		MAG29 quality assessment	final	
results_tables/data/CoA4_taxonomy_quality.tsv	result_table	Co-assembly representative taxonomy and quality	04_CORE_ANALYSIS_DATA/09_COA4	03_REPRODUCIBILITY/scripts/make_Fig_3.9_CoA4_functional.py	co-assembly curation	final	
results_tables/data/CoA4_genome_quality_MIMAG.tsv	result_table	Co-assembly genome quality and MIMAG metrics	04_CORE_ANALYSIS_DATA/09_COA4		co-assembly quality assessment	final	
results_tables/data/perkinsus_olseni_blastn_RPM_by_date.tsv	result_table	Perkinsus olseni mean and SD BLASTn RPM by sampling date	06_METHODS_AND_VALIDATION/17_BLAST_VALIDATION/Perkinsus_olseni_BLAST_hits_timeseries.tsv	03_REPRODUCIBILITY/scripts/make_Fig_3.12_perkinsus.py	selected-reference BLASTn target screen	final	
results_tables/data/blastn_target_reference_mapping_20_targets.tsv	result_table	Included BLASTn references and accessions	06_METHODS_AND_VALIDATION/17_BLAST_VALIDATION	03_REPRODUCIBILITY/scripts/export_blastn_target_screen_results.py	selected-reference BLASTn target screen	final	
results_tables/data/blastn_target_screen_RPM_20_targets.tsv	result_table	BLASTn RPM matrix for 20 targets across 23 dates	06_METHODS_AND_VALIDATION/17_BLAST_VALIDATION/blast_sample_mean.tsv	03_REPRODUCIBILITY/scripts/export_blastn_target_screen_results.py	selected-reference BLASTn target screen	final	
